iter	RMSE
201	0.9618884623
202	0.961729616
203	0.9615685242
204	0.9614738555
205	0.9613049683
206	0.9612302258
207	0.961130011
208	0.9609803095
209	0.9608930257
210	0.9608038964
211	0.9607067765
212	0.9606178476
213	0.9605241619
214	0.9604552698
215	0.9603854967
216	0.9602043246
217	0.9600505528
218	0.9599854111
219	0.9598823174
220	0.9597343036
221	0.9596715083
222	0.9595925386
223	0.9594575367
224	0.9593277961
225	0.9592059279
226	0.9591215806
227	0.9590180291
228	0.9589300176
229	0.9588265427
230	0.9586779989
231	0.9585175902
232	0.9583632946
233	0.958203533
234	0.9580277016
235	0.9579086016
236	0.9578144016
237	0.957722169
238	0.9576744136
239	0.9575653221
240	0.9574382828
241	0.9573453319
242	0.9572269141
243	0.9570724463
244	0.956943511
245	0.956866677
246	0.9567664466
247	0.9566890766
248	0.9565176658
249	0.9564059678
250	0.9562832713
251	0.9561173469
252	0.9560165443
253	0.9558720585
254	0.9558310332
255	0.955738898
256	0.9556852715
257	0.9555591327
258	0.9555079251
259	0.9554347562
260	0.9553992881
261	0.9553103494
262	0.9552101396
263	0.9551211765
264	0.9549776079
265	0.9548797368
266	0.9548119904
267	0.9546417057
268	0.9545511771
269	0.9544719458
270	0.9543681817
271	0.9542077976
272	0.9540974669
273	0.95393342
274	0.9538064458
275	0.9536752472
276	0.9535636072
277	0.9534354491
278	0.9533783318
279	0.9532609515
280	0.9531443933
281	0.9530553379
282	0.9529323105
283	0.9527850027
284	0.9527001903
285	0.9526101003
286	0.9525508203
287	0.9524687417
288	0.9523414292
289	0.9522200611
290	0.9521804903
291	0.9520737818
292	0.9519392025
293	0.9518119695
294	0.9517029166
295	0.9516109314
296	0.9514299906
297	0.9513183581
298	0.9511399734
299	0.9510644944
300	0.9509455113
301	0.9508489045
302	0.9506659628
303	0.9505968886
304	0.9504924672
305	0.9503064562
306	0.950258724
307	0.9501150547
308	0.9499988391
309	0.9498697375
310	0.9497184692
311	0.9495710351
312	0.949435839
313	0.9493413322
314	0.9492095154
315	0.9491048678
316	0.9489835104
317	0.9489130298
318	0.9488439432
319	0.9487452552
320	0.9486104086
321	0.9485468039
322	0.9484958009
323	0.9483546097
324	0.948219948
325	0.9480964947
326	0.9479898613
327	0.9478965034
328	0.9477698203
329	0.9476939884
330	0.9475915963
331	0.9475044821
332	0.94745195
333	0.9472902493
334	0.9471652676
335	0.9470944359
336	0.9470059597
337	0.9468879494
338	0.9467853181
339	0.9466846772
340	0.9466005951
341	0.9463741597
342	0.9462883366
343	0.946199986
344	0.9460934693
345	0.9459382173
346	0.9458445314
347	0.9457430653
348	0.945693728
349	0.9455998302
350	0.9455252036
351	0.9453904618
352	0.9452312094
353	0.9451030596
354	0.9450275651
355	0.944982555
356	0.9448050713
357	0.9446385611
358	0.9445262045
359	0.9444160216
360	0.9442616847
361	0.9441996189
362	0.9439821976
363	0.9438357338
364	0.943737971
365	0.9436463801
366	0.9435085115
367	0.9434218282
368	0.9433446059
369	0.9432703869
370	0.9431529422
371	0.9430014167
372	0.9428844297
373	0.9427507762
374	0.9426647294
375	0.9425726521
376	0.942432955
377	0.9422792734
378	0.9421914937
379	0.9421102701
380	0.9420418074
381	0.9419687229
382	0.9418091645
383	0.94168899
384	0.941570527
385	0.9415102679
386	0.9414166649
387	0.9412648211
388	0.9411619812
389	0.9410774884
390	0.9409769055
391	0.9408794704
392	0.9407548366
393	0.9406287728
394	0.9405296149
395	0.940423351
396	0.940278929
397	0.9401804936
398	0.9400457452
399	0.9399368116
400	0.9398108344
401	0.9396959924
402	0.9395674208
403	0.9394842965
404	0.9393293098
405	0.9392579102
406	0.939189162
407	0.9390581145
408	0.9389300119
409	0.9388531467
410	0.9387686786
411	0.9386912576
412	0.9385486162
413	0.9384167869
414	0.9382810815
415	0.9381564842
416	0.9380760795
417	0.9379663229
418	0.9378551802
419	0.9377352504
420	0.9376557226
421	0.9375476343
422	0.9374663704
423	0.9373630408
424	0.9372533867
425	0.9371203452
426	0.9369727981
427	0.9368809539
428	0.9367153221
429	0.9365767146
430	0.9364771853
431	0.9363975848
432	0.9363510402
433	0.9362575355
434	0.9361233194
435	0.9360361307
436	0.9359759603
437	0.9357933327
438	0.9357004661
439	0.9356262326
440	0.9355178092
441	0.935430777
442	0.9352788904
443	0.935156812
444	0.9350731029
445	0.9349876078
446	0.9348421898
447	0.9347571938
448	0.9346878071
449	0.9346268431
450	0.9345839733
451	0.9344833487
452	0.9344021459
453	0.9342623742
454	0.9341587454
455	0.9340264787
456	0.9339481742
457	0.9338306982
458	0.9336761897
459	0.9335414861
460	0.9335035302
461	0.9333974035
462	0.9333204789
463	0.9331837825
464	0.9331234331
465	0.9330659883
466	0.9329204278
467	0.9328720683
468	0.9327594816
469	0.9326635752
470	0.9326028891
471	0.9323697244
472	0.9322255946
473	0.9321193059
474	0.9319823638
475	0.9318612604
476	0.9317143123
477	0.9315902214
478	0.9315249903
479	0.9314179725
480	0.93132721
481	0.9312168182
482	0.9310618218
483	0.930971982
484	0.9308842105
485	0.9307992053
486	0.9307269799
487	0.9306422371
488	0.9305346674
489	0.9304375316
490	0.930275514
491	0.9302022063
492	0.9300763616
493	0.9300086321
494	0.9299155095
495	0.9297941573
496	0.9297022661
497	0.9296189164
498	0.9295067466
499	0.9294071574
500	0.9292999643
501	0.9292362208
502	0.9291363009
503	0.9289968321
504	0.9289293462
505	0.9288507564
506	0.9287153096
507	0.9286038378
508	0.9285491053
509	0.9284142141
510	0.9283217188
511	0.9282584249
512	0.9281162012
513	0.9280551887
514	0.9279403409
515	0.9278695885
516	0.9277981048
517	0.9276355061
518	0.9275101402
519	0.9274521487
520	0.9274177186
521	0.9273217578
522	0.9271768216
523	0.9270974766
524	0.9269961
